t,S,I,R
495,46692751.0,560.0,81206.0
496,46702577.0,548.0,81242.0
497,46706719.0,518.0,81242.0
498,46706719.0,452.0,81242.0
499,46698536.0,468.0,81258.0
500,46703209.0,384.0,81320.0
501,46702773.0,419.0,81356.0
502,46702389.0,438.0,81375.0
503,46702354.0,416.0,81393.0
504,46706568.0,343.0,81393.0
505,46706568.0,320.0,81393.0
506,46699322.0,224.0,81430.0
507,46702461.0,218.0,81460.0
508,46702131.0,247.0,81489.0
509,46701947.0,265.0,81507.0
510,46701517.0,262.0,81520.0
511,46706441.0,200.0,81520.0
512,46706441.0,164.0,81520.0
513,46696252.0,155.0,81530.0
514,46699300.0,177.0,81570.0
515,46697118.0,223.0,81616.0
516,46693992.0,231.0,81624.0
517,46693746.0,222.0,81652.0
518,46706309.0,192.0,81652.0
519,46706309.0,163.0,81652.0
520,46673679.0,168.0,81675.0
521,46692131.0,173.0,81693.0
522,46688867.0,190.0,81710.0
523,46688906.0,218.0,81738.0
524,46684338.0,214.0,81744.0
525,46706217.0,174.0,81744.0
526,46706217.0,128.0,81744.0
527,46672268.0,137.0,81761.0
528,46662227.0,122.0,81774.0
529,46679787.0,132.0,81784.0
530,46678448.0,173.0,81825.0
531,46675064.0,162.0,81837.0
532,46706124.0,144.0,81837.0
533,46706124.0,127.0,81837.0
534,46644473.0,122.0,81860.0
535,46678786.0,145.0,81889.0
536,46675467.0,163.0,81907.0
537,46676491.0,191.0,81935.0
538,46674828.0,201.0,81962.0
539,46705999.0,188.0,81962.0
540,46705999.0,178.0,81962.0
541,46644327.0,184.0,82009.0
542,46679498.0,227.0,82064.0
543,46678675.0,300.0,82137.0
544,46679089.0,346.0,82183.0
545,46680981.0,367.0,82227.0
546,46705734.0,338.0,82227.0
547,46705734.0,320.0,82227.0
548,46649638.0,449.0,82384.0
549,46685120.0,552.0,82514.0
550,46683502.0,623.0,82585.0
551,46683902.0,710.0,82672.0
552,46683653.0,738.0,82747.0
553,46705214.0,683.0,82747.0
554,46705214.0,610.0,82747.0
555,46665457.0,683.0,82866.0
556,46689313.0,741.0,82968.0
557,46687877.0,834.0,83061.0
558,46687403.0,921.0,83148.0
559,46689093.0,827.0,83211.0
560,46704750.0,697.0,83211.0
561,46704750.0,626.0,83211.0
562,46678899.0,664.0,83336.0
563,46690145.0,733.0,83480.0
564,46692381.0,877.0,83624.0
565,46691771.0,998.0,83745.0
566,46691634.0,1011.0,83877.0
567,46704084.0,909.0,83877.0
568,46704084.0,816.0,83877.0
569,46679984.0,930.0,84078.0
570,46693621.0,1057.0,84268.0
571,46692749.0,1220.0,84431.0
572,46696244.0,1391.0,84602.0
573,46693731.0,1405.0,84741.0
574,46703220.0,1261.0,84741.0
575,46703220.0,1117.0,84741.0
576,46687585.0,1142.0,84887.0
577,46695113.0,1204.0,85081.0
578,46695930.0,1336.0,85213.0
579,46693019.0,1504.0,85381.0
580,46696114.0,1458.0,85536.0
581,46702425.0,1268.0,85536.0
582,46702425.0,1105.0,85536.0
583,46692935.0,1067.0,85669.0
584,46696626.0,1066.0,85807.0
585,46696455.0,1147.0,85888.0
586,46697239.0,1218.0,85959.0
587,46697490.0,1144.0,86031.0
588,46701930.0,950.0,86031.0
589,46701930.0,818.0,86031.0
590,46694023.0,753.0,86134.0
591,46698411.0,753.0,86289.0
592,46697859.0,843.0,86379.0
593,46697406.0,944.0,86480.0
594,46698215.0,855.0,86524.0
595,46701437.0,717.0,86524.0
596,46701437.0,636.0,86524.0
597,46695331.0,683.0,86642.0
598,46698787.0,693.0,86724.0
599,46698295.0,795.0,86826.0
600,46698004.0,895.0,86926.0
601,46698245.0,836.0,86970.0
602,46700991.0,681.0,86970.0
603,46700991.0,591.0,86970.0
604,46695883.0,559.0,87039.0
605,46698572.0,575.0,87099.0
606,46698062.0,614.0,87138.0
607,46698405.0,632.0,87156.0
608,46698720.0,562.0,87204.0
609,46700757.0,480.0,87204.0
610,46700757.0,378.0,87204.0
611,46696422.0,342.0,87268.0
612,46698798.0,392.0,87362.0
613,46698239.0,449.0,87419.0
614,46698712.0,472.0,87442.0
615,46698133.0,480.0,87519.0
616,46700442.0,420.0,87519.0
617,46700442.0,381.0,87519.0
618,46696564.0,412.0,87568.0
619,46700393.0,364.0,87568.0
620,46697593.0,406.0,87610.0
621,46698371.0,454.0,87658.0
622,46697998.0,447.0,87715.0
623,46700246.0,353.0,87715.0
624,46700246.0,296.0,87715.0
625,46695698.0,329.0,87771.0
626,46698280.0,273.0,87792.0
627,46697610.0,304.0,87823.0
628,46698237.0,324.0,87843.0
629,46697532.0,305.0,87873.0
630,46700088.0,305.0,87873.0
631,46700088.0,263.0,87873.0
632,46695549.0,269.0,87927.0
633,46698056.0,264.0,87979.0
634,46697399.0,315.0,88030.0
635,46697686.0,348.0,88063.0
636,46697591.0,338.0,88109.0
637,46699852.0,317.0,88109.0
638,46699852.0,286.0,88109.0
639,46699852.0,266.0,88109.0
640,46693977.0,291.0,88164.0
641,46697471.0,330.0,88203.0
642,46696452.0,345.0,88218.0
643,46696623.0,318.0,88245.0
644,46699716.0,266.0,88245.0
645,46699716.0,215.0,88245.0
646,46693245.0,236.0,88299.0
647,46699662.0,190.0,88299.0
648,46693142.0,249.0,88358.0
649,46695287.0,279.0,88388.0
650,46695194.0,305.0,88414.0
651,46699547.0,250.0,88414.0
652,46699547.0,211.0,88414.0
653,46689706.0,239.0,88457.0
654,46695384.0,241.0,88486.0
655,46692778.0,271.0,88516.0
656,46693101.0,300.0,88545.0
657,46692774.0,252.0,88551.0
658,46699410.0,252.0,88551.0
659,46699410.0,193.0,88551.0
660,46683513.0,185.0,88573.0
661,46692577.0,193.0,88607.0
662,46690789.0,231.0,88645.0
663,46690031.0,258.0,88672.0
664,46689353.0,239.0,88696.0
665,46699265.0,210.0,88696.0
666,46699265.0,180.0,88696.0
667,46676301.0,204.0,88749.0
668,46688907.0,242.0,88793.0
669,46688604.0,270.0,88821.0
670,46684598.0,312.0,88863.0
671,46685323.0,327.0,88900.0
672,46699061.0,293.0,88900.0
673,46699061.0,255.0,88900.0
674,46699061.0,228.0,88900.0
