t,S,I,R
556,46698705.98137213,741.0,88514.01862786492
557,46698519.98137213,834.0,88607.01862786492
558,46698345.98137213,921.0,88694.01862786492
559,46698376.98137213,827.0,88757.01862786492
560,46698506.98137213,697.0,88757.01862786492
561,46698577.98137213,626.0,88757.01862786492
562,46698414.98137213,664.0,88882.01862786492
563,46698201.98137213,733.0,89026.01862786492
564,46697913.98137213,877.0,89170.01862786492
565,46697671.98137213,998.0,89291.01862786492
566,46697526.98137213,1011.0,89423.01862786492
567,46697628.98137213,909.0,89423.01862786492
568,46697721.98137213,816.0,89423.01862786492
569,46697406.98137213,930.0,89624.01862786492
570,46697089.98137213,1057.0,89814.01862786492
571,46696763.98137213,1220.0,89977.01862786492
572,46696421.98137213,1391.0,90148.01862786492
573,46696268.98137213,1405.0,90287.01862786492
574,46696412.98137213,1261.0,90287.01862786492
575,46696556.98137213,1117.0,90287.01862786492
576,46696385.98137213,1142.0,90433.01862786492
577,46696129.98137213,1204.0,90627.01862786492
578,46695865.98137213,1336.0,90759.01862786492
579,46695529.98137213,1504.0,90927.01862786492
580,46695420.98137213,1458.0,91082.01862786492
581,46695610.98137213,1268.0,91082.01862786492
582,46695773.98137213,1105.0,91082.01862786492
583,46695678.98137213,1067.0,91215.01862786492
584,46695541.98137213,1066.0,91353.01862786492
585,46695379.98137213,1147.0,91434.01862786492
586,46695237.98137213,1218.0,91505.01862786492
587,46695239.98137213,1144.0,91577.01862786492
588,46695433.98137213,950.0,91577.01862786492
589,46695565.98137213,818.0,91577.01862786492
590,46695527.98137213,753.0,91680.01862786492
591,46695372.98137213,753.0,91835.01862786492
592,46695192.98137213,843.0,91925.01862786492
593,46694990.98137213,944.0,92026.01862786492
594,46695035.98137213,855.0,92070.01862786492
595,46695173.98137213,717.0,92070.01862786492
596,46695254.98137213,636.0,92070.01862786492
597,46695089.98137213,683.0,92188.01862786492
598,46694997.98137213,693.0,92270.01862786492
599,46694793.98137213,795.0,92372.01862786492
600,46694593.98137213,895.0,92472.01862786492
601,46694608.98137213,836.0,92516.01862786492
602,46694763.98137213,681.0,92516.01862786492
603,46694853.98137213,591.0,92516.01862786492
604,46694816.98137213,559.0,92585.01862786492
605,46694740.98137213,575.0,92645.01862786492
606,46694662.98137213,614.0,92684.01862786492
